order_id,exception_type,severity,amount_affected,reason,amount_at_risk,evidence,likely_cause,recommended_action
ff7f5fd520c590ecb28347614bf26ae2,SETTLEMENT_ANOMALY,LOW,51.97,Settlement amount is lower than the captured payment amount,51.97,Settlement anomaly detected; amount affected=₹51.97,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
2efe2442effe17b5a17637c88ac2d0d8,SETTLEMENT_ANOMALY,LOW,76.77,Settlement amount is lower than the captured payment amount,76.77,Settlement anomaly detected; amount affected=₹76.77,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
7d4101163410b1380268da3933e691f1,SETTLEMENT_ANOMALY,LOW,64.18,Settlement amount is lower than the captured payment amount,64.18,Settlement anomaly detected; amount affected=₹64.18,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
d2b78e9e69a191c9f98ea4fec8e920ef,PAYMENT_ORDER_MISMATCH,LOW,45.86,Payment is captured but merchant order is still marked UNPAID,45.86,Payment/order state mismatch; amount affected=₹45.86,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
1e24c66f40e16d38609ed026af8b4c94,SETTLEMENT_ANOMALY,LOW,27.95,Settlement amount is lower than the captured payment amount,27.95,Settlement anomaly detected; amount affected=₹27.95,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
393e5ad5d9b558b7a0fd2cfc53f7f1d9,SETTLEMENT_ANOMALY,LOW,65.05,Settlement amount is lower than the captured payment amount,65.05,Settlement anomaly detected; amount affected=₹65.05,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
0b0bf8f9977e22517521efeefa4b7a27,PAYMENT_ORDER_MISMATCH,LOW,167.51,Payment is captured but merchant order is still marked UNPAID,167.51,Payment/order state mismatch; amount affected=₹167.51,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
31a8fcbeaa65f2a7dec1abee188ffcc9,SETTLEMENT_ANOMALY,LOW,56.62,Settlement amount is lower than the captured payment amount,56.62,Settlement anomaly detected; amount affected=₹56.62,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
4ee4b8462b9a39ac1fa86e28bcc22ad3,WEBHOOK_FAILURE,LOW,71.61,Payment is captured but the webhook delivery failed,71.61,Webhook delivery failure; amount affected=₹71.61,Required webhook event was not successfully delivered to the merchant system.,Verify webhook delivery and replay or reconcile the missing event.
ad01d61ec53a43d200f359c11347316f,PAYMENT_ORDER_MISMATCH,LOW,40.21,Payment is captured but merchant order is still marked UNPAID,40.21,Payment/order state mismatch; amount affected=₹40.21,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
36b036769c93a2e59324ac996fb51e2b,PAYMENT_ORDER_MISMATCH,LOW,54.49,Payment is captured but merchant order is still marked UNPAID,54.49,Payment/order state mismatch; amount affected=₹54.49,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
fe00e26eb05c951aad5cbc6b7f602edb,REFUND_ORDER_MISMATCH,LOW,138.28,Merchant order is cancelled but customer refund is still pending,138.28,Refund/order state mismatch; amount affected=₹138.28,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.
67642a6b87ab5c8cdfffd5b81da8a501,PAYMENT_ORDER_MISMATCH,LOW,115.45,Payment is captured but merchant order is still marked UNPAID,115.45,Payment/order state mismatch; amount affected=₹115.45,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
e28f56dc0353b7bf8f78f05ac639ba21,SETTLEMENT_ANOMALY,LOW,20.83,Settlement amount is lower than the captured payment amount,20.83,Settlement anomaly detected; amount affected=₹20.83,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
a92a63c8deffa6b4843c8e30e10abbfc,REFUND_ORDER_MISMATCH,LOW,186.62,Merchant order is cancelled but customer refund is still pending,186.62,Refund/order state mismatch; amount affected=₹186.62,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.
78d197a2bfdde2a4c64cf3e58ab2b7a3,PAYMENT_ORDER_MISMATCH,LOW,125.8,Payment is captured but merchant order is still marked UNPAID,125.8,Payment/order state mismatch; amount affected=₹125.80,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
db84f5852687abdb7f384d5ea4b638c9,PAYMENT_ORDER_MISMATCH,LOW,179.56,Payment is captured but merchant order is still marked UNPAID,179.56,Payment/order state mismatch; amount affected=₹179.56,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
c88935c0144ef18368420018e18f177a,REFUND_ORDER_MISMATCH,LOW,48.11,Merchant order is cancelled but customer refund is still pending,48.11,Refund/order state mismatch; amount affected=₹48.11,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.
770d331c84e5b214bd9dc70a10b829d0,SETTLEMENT_ANOMALY,LOW,79.18,Settlement amount is lower than the captured payment amount,79.18,Settlement anomaly detected; amount affected=₹79.18,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
a7b3d17383515918f57cc831f29bc8dd,SETTLEMENT_ANOMALY,LOW,13.45,Settlement amount is lower than the captured payment amount,13.45,Settlement anomaly detected; amount affected=₹13.45,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
5f5d82c66499b9a72f7e8071477aee00,PAYMENT_ORDER_MISMATCH,LOW,21.77,Payment is captured but merchant order is still marked UNPAID,21.77,Payment/order state mismatch; amount affected=₹21.77,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
