order_id,exception_type,severity,amount_affected,reason
0901f97cdb91762c043d2330c81919a4,REFUND_ORDER_MISMATCH,MEDIUM,410.61,Merchant order is cancelled but customer refund is still pending
9c3585240de3978338d7aa8c74ddfaa1,PAYMENT_ORDER_MISMATCH,HIGH,347.06,Payment is captured but merchant order is still marked UNPAID
37f4b362697f5c9826aee9c479b32bda,PAYMENT_ORDER_MISMATCH,HIGH,73.77,Payment is captured but merchant order is still marked UNPAID
12958a97a4e26a4e7dd8bce7de8955b9,SETTLEMENT_ANOMALY,HIGH,16.23,Settlement amount is lower than the captured payment amount
6653d3fc131c01e7e7fa96daf4aea451,PAYMENT_ORDER_MISMATCH,HIGH,185.94,Payment is captured but merchant order is still marked UNPAID
77f8ac5734b5b2f8c1572102f854d329,REFUND_ORDER_MISMATCH,MEDIUM,134.27,Merchant order is cancelled but customer refund is still pending
b41f51ebf23530b00f69e5602f81a653,SETTLEMENT_ANOMALY,HIGH,58.5,Settlement amount is lower than the captured payment amount
b2b345cd2633deaf2b69c3b5c5585afa,REFUND_ORDER_MISMATCH,MEDIUM,61.29,Merchant order is cancelled but customer refund is still pending
ff7f5fd520c590ecb28347614bf26ae2,SETTLEMENT_ANOMALY,HIGH,51.97,Settlement amount is lower than the captured payment amount
2efe2442effe17b5a17637c88ac2d0d8,SETTLEMENT_ANOMALY,HIGH,76.77,Settlement amount is lower than the captured payment amount
7d4101163410b1380268da3933e691f1,SETTLEMENT_ANOMALY,HIGH,64.18,Settlement amount is lower than the captured payment amount
d2b78e9e69a191c9f98ea4fec8e920ef,PAYMENT_ORDER_MISMATCH,HIGH,45.86,Payment is captured but merchant order is still marked UNPAID
1e24c66f40e16d38609ed026af8b4c94,SETTLEMENT_ANOMALY,HIGH,27.95,Settlement amount is lower than the captured payment amount
393e5ad5d9b558b7a0fd2cfc53f7f1d9,SETTLEMENT_ANOMALY,HIGH,65.05,Settlement amount is lower than the captured payment amount
0b0bf8f9977e22517521efeefa4b7a27,PAYMENT_ORDER_MISMATCH,HIGH,167.51,Payment is captured but merchant order is still marked UNPAID
31a8fcbeaa65f2a7dec1abee188ffcc9,SETTLEMENT_ANOMALY,HIGH,56.62,Settlement amount is lower than the captured payment amount
4ee4b8462b9a39ac1fa86e28bcc22ad3,WEBHOOK_FAILURE,HIGH,71.61,Payment is captured but the webhook delivery failed
ad01d61ec53a43d200f359c11347316f,PAYMENT_ORDER_MISMATCH,HIGH,40.21,Payment is captured but merchant order is still marked UNPAID
36b036769c93a2e59324ac996fb51e2b,PAYMENT_ORDER_MISMATCH,HIGH,54.49,Payment is captured but merchant order is still marked UNPAID
fe00e26eb05c951aad5cbc6b7f602edb,REFUND_ORDER_MISMATCH,MEDIUM,138.28,Merchant order is cancelled but customer refund is still pending
67642a6b87ab5c8cdfffd5b81da8a501,PAYMENT_ORDER_MISMATCH,HIGH,115.45,Payment is captured but merchant order is still marked UNPAID
e28f56dc0353b7bf8f78f05ac639ba21,SETTLEMENT_ANOMALY,HIGH,20.83,Settlement amount is lower than the captured payment amount
a92a63c8deffa6b4843c8e30e10abbfc,REFUND_ORDER_MISMATCH,MEDIUM,186.62,Merchant order is cancelled but customer refund is still pending
78d197a2bfdde2a4c64cf3e58ab2b7a3,PAYMENT_ORDER_MISMATCH,HIGH,125.8,Payment is captured but merchant order is still marked UNPAID
db84f5852687abdb7f384d5ea4b638c9,PAYMENT_ORDER_MISMATCH,HIGH,179.56,Payment is captured but merchant order is still marked UNPAID
c88935c0144ef18368420018e18f177a,REFUND_ORDER_MISMATCH,MEDIUM,48.11,Merchant order is cancelled but customer refund is still pending
770d331c84e5b214bd9dc70a10b829d0,SETTLEMENT_ANOMALY,HIGH,79.18,Settlement amount is lower than the captured payment amount
a7b3d17383515918f57cc831f29bc8dd,SETTLEMENT_ANOMALY,HIGH,13.45,Settlement amount is lower than the captured payment amount
5f5d82c66499b9a72f7e8071477aee00,PAYMENT_ORDER_MISMATCH,HIGH,21.77,Payment is captured but merchant order is still marked UNPAID
